firstname,lastname,dates,nationality,known_for,summary
leonhard ,euler,15 April 1707 – 18 September 1783,swiss ,"euler's function, euler's equation, and euler's formula","Leonhard Euler ; 15 April 1707 – 18 September 1783) was a Swiss mathematician, physicist, astronomer, geographer, logician and engineer who made important and influential discoveries in many branches of mathematics, such as infinitesimal calculus and graph theory, while also making pioneering contributions to several branches such as topology and analytic number theory"
liu ,hui,c. 225 AD –  c. 295 AD,chinese,the nine chapters on the mathematical art,
luca ,pacioli,c. 1447 – c. 1517,italian,"summa de arithmetica, de divina proportione","Fra Luca Bartolomeo de Pacioli  was an Italian mathematician, Franciscan friar, collaborator with Leonardo da Vinci, and an early contributor to the field now known as accounting"
,madhava,c. 1340 – c. 1425,indian,"discovery of power series expansions of trigonometric sine, cosine and arctangent functions",Mādhava means Lord Krishna an incarnation of Vishnu
maurits ,escher,17 June 1898 – 27 March 1972,dutch,"drawing, printmaking",
niels henrik ,abel,5 August 1802 – 6 April 1829,norwegian,"abel's binomial theorem, abelian category, abelian variety",
omar ,khayyam,18 May 1048 – 4 December 1131,persian,treatise on demonstration of problems of algebra,
paul ,cohen,"April 2, 1934 – March 23, 2007",american,"cohen forcing, continuum hypothesis",
pierre ,de fermat,17 August 1601 – 12 January 1665,french,"number theory, analytic geometry, fermat's principle, probability, fermat's last theorem","Pierre de Fermat  was a French lawyer at the Parlement of Toulouse, France, and a mathematician who is given credit for early developments that led to infinitesimal calculus, including his technique of adequality"
pierre-simon ,laplace,23 March 1749 – 5 March 1827,french,laplace's equation & tranforms,"Pierre-Simon, marquis de Laplace  was a French scholar and polymath whose work was important to the development of engineering, mathematics, statistics, physics, astronomy, and philosophy"
,plato,c. 424/423 – c. 348/347 BC,greek,,"Plato  was an Athenian philosopher during the Classical period in Ancient Greece, founder of the Platonist school of thought, and the Academy, the first institution of higher learning in the Western world"
,ptolemy,c. 90 – c. 168 AD,greco-egyptian ,publishing the amalgest,"Claudius Ptolemy  was a mathematician, astronomer, geographer and astrologer who wrote several scientific treatises, three of which were of importance to later Byzantine, Islamic and Western European science"
,pythagoras,c. 570 – c. 495 BC,ionian greek,pythagorean theorem,Pythagoras of Samos  was an ancient Ionian Greek philosopher and the eponymous founder of Pythagoreanism
rené ,descartes,31 March 1596 – 11 February 1650,french ,analytical geometry,"René Descartes ; Latinized: Renatus  Cartesius; 31 March 1596 – 11 February 1650) was a French-born philosopher, mathematician, and scientist"
sophie,germain,1 April 1776 – 27 June 1831,french ,"elasticity theory, differential geometry, number theory","Marie-Sophie Germain  was a French mathematician, physicist, and philosopher"
srinivasa ,ramanujan,22 December 1887 – 26 April 1920,indian,landau–ramanujan constant,Srinivasa Ramanujan   was an Indian mathematician who lived during the British Rule in India
,thales,c. 624 – c. 546 BC,greek,thales' theorem,"Thales of Miletus , Thalēs; c"
william rowan ,hamilton,4 August 1805 – 2 September 1865,irish ,hamiltonian mechanics,
